comentario,sentimiento
No me gustó la metodología utilizada.,negativo
Recomendaría este curso a otros estudiantes.,positivo
Hubo falta de claridad en los temas.,negativo
Hubo falta de claridad en los temas.,negativo
Los ejemplos eran poco relevantes.,negativo
La explicación fue confusa y apresurada.,negativo
Recomendaría este curso a otros estudiantes.,positivo
El curso fue excelente y aprendí mucho.,positivo
Muy buena explicación por parte del profesor.,positivo
El curso fue excelente y aprendí mucho.,positivo
No me gustó la metodología utilizada.,negativo
Muy buena explicación por parte del profesor.,positivo
Las actividades fueron desafiantes pero útiles.,positivo
Los ejemplos eran poco relevantes.,negativo
Los ejemplos fueron muy útiles para entender.,positivo
El contenido fue claro y bien organizado.,positivo
El curso fue excelente y aprendí mucho.,positivo
No me pareció útil para mi formación.,negativo
Siempre hubo acompañamiento y claridad.,positivo
Muy buena explicación por parte del profesor.,positivo
Muy buena explicación por parte del profesor.,positivo
No recibí suficiente apoyo en el proceso.,negativo
La metodología de enseñanza fue efectiva.,positivo
No se resolvieron mis dudas.,negativo
Muy buena explicación por parte del profesor.,positivo
No se resolvieron mis dudas.,negativo
No se resolvieron mis dudas.,negativo
El contenido fue claro y bien organizado.,positivo
El curso fue excelente y aprendí mucho.,positivo
No se resolvieron mis dudas.,negativo
La metodología de enseñanza fue efectiva.,positivo
Los ejemplos fueron muy útiles para entender.,positivo
Hubo falta de claridad en los temas.,negativo
El curso fue muy desorganizado.,negativo
No se resolvieron mis dudas.,negativo
El contenido fue claro y bien organizado.,positivo
Recomendaría este curso a otros estudiantes.,positivo
Me encantó la dinámica de las clases.,positivo
Hubo falta de claridad en los temas.,negativo
No me gustó la metodología utilizada.,negativo
No recibí suficiente apoyo en el proceso.,negativo
La explicación fue confusa y apresurada.,negativo
El curso fue excelente y aprendí mucho.,positivo
Estoy muy satisfecho con lo aprendido.,positivo
El curso fue excelente y aprendí mucho.,positivo
Recomendaría este curso a otros estudiantes.,positivo
Los ejemplos fueron muy útiles para entender.,positivo
No entendí muchos temas del curso.,negativo
